id;year;type;accidentType;firstAddress;secondAddress;geometry;reason;area;creationDate;daniosMateriales;falloMecanico;estadoPavimento;tipoEstadoPavimento;estadoAtmosfera;tipoEstadoAtmosfera;afectado;vehiculo
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12099";"2014";"SALIDA CALZADA";"";"COSTA, JOAQUIN";"PERAL, ISAAC";"-0.8818527060979306,41.649027473051156";"PERDIDA del control por FALTA de ATENCIÓN";"";2014-10-09T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44400"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12100";"2014";"COLISIÓN ALCANCE";"";"CADENA(MARQUES DE LA)";"";"-0.8645810716721081,41.661585829868585";"DISTANCIA DE SEGURIDAD, no mantener";"2560";2014-10-23T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15134";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44401"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12101";"2014";"COLISIÓN ALCANCE";"";"GOMEZ AVELLANEDA, G.";"CASTRO, R. (POETA)";"-0.887776415002892,41.666992622958105";"PERDIDA del control por FALTA de ATENCIÓN";"2598";2014-10-23T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15135";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44402"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12102";"2014";"COLIS FRONTOLATERAL";"";"MONZON";"GARCIA CONDOY, H.";"-0.8825260453930127,41.62957498750602";"CEDA EL PASO, no respetar prioridad de paso";"2555";2014-10-23T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15136https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15137https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15138https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15139https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15140https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15141";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44403"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12103";"2014";"SALIDA CALZADA";"";"RIOJA";"NAVARRA, AVENIDA DE";"-0.908314757720389,41.6562121210704";"PERDIDA del control por VELOCIDAD INADECUADA";"2554";2014-10-24T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15142https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15143https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15144";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44404"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12104";"2014";"OTRAS";"";"MUEL";"";"-0.8691088511672924,41.65949772773082";"Caída de ocupante en Transporte Público";"2578";2014-10-24T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15145";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44405"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12105";"2014";"ATROPELLO";"";"PIGNATELLI, RAMON VIA";"";"-0.8880337913721866,41.633353667694024";"PEATÓN cruza calz SIN PREFER. fuera de paso";"2606";2014-10-24T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15146";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44406"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12106";"2014";"CAIDA SOBRE CALZADA";"";"ALIERTA, AV. CESAREO";"AULA, LUIS";"-0.8708838775078237,41.6390382112928";"INVADIR otro carril en el mismo sentido de circulación";"2583";2014-10-24T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15147";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44407https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44408"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12107";"2014";"COLIS. MARCHA ATRÁS";"";"CERBUNA, PEDRO";"";"-0.8970649943808023,41.64083344974765";"PERDIDA del control por FALTA de ATENCIÓN";"2556";2014-10-24T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44409https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44410"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9664";"2013";"COLISIÓN LATERAL";"";"ASALTO";"COCCI, JORGE";"-0.8718525605769747,41.64904657717317";"INVADIR otro carril en el mismo sentido de circulación";"4657";2013-12-20T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6340";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19059https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19060"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9666";"2013";"OTRAS";"";"ARAGON (CORONA DE)";"SAN ANTONIO M CLARET";"-0.8964627561577849,41.64322365075108";"Caída de ocupante en Transporte Público";"0063";2013-12-21T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6342";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19062"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9667";"2013";"COLISIÓN ALCANCE";"";"FRAGUA, LA";"GASSIER, PIERRE";"-0.8778095796207178,41.68753087470739";"PERDIDA del control por FALTA de ATENCIÓN";"4780";2013-12-22T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19063"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9668";"2013";"SALIDA CALZADA";"";"PIRINEOS, AV. DE LOS";"";"-0.8812157329722801,41.661646612715046";"PERDIDA del control por FALTA de ATENCIÓN";"4661";2013-12-22T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6343";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19064"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9669";"2013";"COLISIÓN ALCANCE";"";"TORRES, CAMINO DE LAS";"";"-0.8762000299022707,41.6454384961757";"PERDIDA del control por FALTA de ATENCIÓN";"4667";2013-12-22T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6344https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6345";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19065https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19066"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9670";"2013";"ATROPELLO";"";"RIOJA";"NAVARRA, AVENIDA DE";"-0.9089013552408617,41.65543768899759";"PEATÓN cruza calz SIN PREFER. en PASO CON semáforo";"4664";2013-12-22T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6346";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19067"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9671";"2013";"COLISIÓN ALCANCE";"";"ITALIA";"";"-0.9004729973337304,41.65180346604993";"PERDIDA del control por FALTA de ATENCIÓN";"4671";2013-12-22T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19068https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19069"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9672";"2013";"COLISIÓN ALCANCE";"";"AGUSTIN, PASEO MARIA";"MAYANDIA (GENERAL)";"-0.8917562993466011,41.65233828238132";"DISTANCIA DE SEGURIDAD, no mantener";"0018";2013-12-20T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6347";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19070"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9673";"2013";"COLISIÓN ALCANCE";"";"AGUSTIN, PASEO MARIA";"SANTA ANA";"-0.888856043735591,41.65040494617356";"PERDIDA del control por FALTA de ATENCIÓN";"4718";2013-12-23T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6348https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6349";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19071"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9674";"2013";"COLISIÓN ALCANCE";"";"CASPE, AV.COMPROMISO";"";"-0.8629911318784169,41.645335650478316";"PERDIDA del control por FALTA de ATENCIÓN";"4723";2013-12-23T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6350";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19072"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9675";"2013";"COLISIÓN ALCANCE";"";"MURANO, ISLA DE AV.";"";"-0.8870207060655807,41.609992514227066";"PERDIDA del control por FALTA de ATENCIÓN";"";2013-12-23T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/19073"
